date,product,category,price,unit,market_name,region,woreda,price_type
2023-02-26,Millet,Cereal,1407.95,quintal,Jimma,SNNPR,North Shewa,Retail
2023-05-05,Hot pepper,Vegetable,1334.51,quintal,Bahir Dar,Oromia,Wolaita,Wholesale
2023-12-03,Sugar (local),Processed Food,245.54,kg,Jimma,Tigray,Basketo,Wholesale
2024-06-08,Fava beans,Other,132.15,kg,Wolkite,SNNPR,Kaffa,Farmgate
2024-01-05,Nifro,Other,1619.45,quintal,Gonder,Tigray,Bole,Retail
2023-04-19,Cabbage,Vegetable,2079.98,quintal,Shola,Sidama,Kolfe,Farmgate
2023-12-09,Millet,Cereal,1712.38,quintal,Bahir Dar,Southwest Ethiopia,Kaffa,Retail
2023-03-28,Chicken (dressed),Animal Product,246.11,kg,Gonder,SNNPR,North Shewa,Retail
2024-05-20,Beef (raw),Animal Product,784.98,quintal,Shola,Sidama,Hadiya,Farmgate
2023-07-28,Milk (raw),Animal Product,38.18,kg,Dessie,Addis Ababa,Bole,Retail
2024-03-19,Onion (red),Vegetable,35.4,kg,Wolkite,Southwest Ethiopia,Basketo,Farmgate
2024-02-25,Green pepper,Vegetable,1728.51,quintal,Wolkite,Amhara,Jimma Town,Retail
2023-01-27,Barley,Cereal,1424.45,quintal,Shola,Oromia,North Shewa,Farmgate
2023-12-18,Green pepper,Vegetable,1642.21,quintal,Merkato,Tigray,North Shewa,Farmgate
2023-06-10,Rice (imported),Cereal,2261.77,kg,Hossana,Southwest Ethiopia,Hadiya,Farmgate
2024-01-21,Tea (local),Processed Food,2021.92,quintal,Hawassa,Oromia,Jimma Town,Retail
2024-02-11,Cheese (Ayib),Animal Product,120.14,kg,Jimma,Amhara,Kolfe,Farmgate
2023-11-16,Green pepper,Vegetable,69.56,kg,Gonder,Sidama,Bole,Farmgate
2023-07-08,Maize,Cereal,899.0,kg,Hossana,Sidama,Hadiya,Farmgate
2023-10-23,Butter (traditional),Animal Product,1998.39,quintal,Adama,SNNPR,Jimma Town,Wholesale
2024-02-11,Lettuce,Vegetable,158.35,kg,Merkato,Sidama,Kolfe,Wholesale
2023-07-07,Hot pepper,Vegetable,110.73,kg,Wolkite,SNNPR,Lideta,Wholesale
2024-05-04,Beetroot,Vegetable,1334.53,quintal,Merkato,Sidama,Kolfe,Retail
2023-03-04,Fava beans,Other,1824.5,quintal,Adama,Addis Ababa,Lideta,Wholesale
2023-01-25,Teff (white),Cereal,1802.48,quintal,Wolkite,Amhara,South Wollo,Retail
2023-06-12,Papaya,Fruit,1971.55,quintal,Gonder,Addis Ababa,Bole,Retail
2024-03-30,Barley,Cereal,1400.94,kg,Merkato,Addis Ababa,North Shewa,Farmgate
2023-11-22,Teff (white),Cereal,2067.35,kg,Dessie,Amhara,Lideta,Wholesale
2023-06-10,Cooking oil (palm),Processed Food,1845.81,quintal,Adama,Addis Ababa,Kaffa,Retail
2024-03-16,Tea (local),Processed Food,1344.34,quintal,Hawassa,Addis Ababa,Kaffa,Wholesale
2023-06-26,Chicken (live),Animal Product,332.58,kg,Wolkite,Amhara,Lideta,Farmgate
2023-09-23,Apple (local),Fruit,2273.07,quintal,Dessie,Sidama,Hadiya,Wholesale
2024-05-15,Beetroot,Vegetable,124.64,kg,Hawassa,Sidama,North Shewa,Retail
